County,Offense,Offense Description,Offense Date
Hidalgo,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,7/18/2018
Gregg,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/16/2018
Galveston,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/3/2018
Wichita,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,11/28/2017
Hutchinson,Drug,POSS CS PG 1 >=4G<200G,11/23/2017
Cooke,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,8/21/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,4/2/2018
Montgomery,Violent,POSS OF CHILD PORNOGRAPHY,9/6/2018
Hidalgo,Violent,AGG SEXUAL ASSAULT OF ELDERLY/DISABLED PERSON,12/30/2017
Harris,Drug,MAN DEL CS PG 1 <1G,12/4/2018
Ellis,Drug,POSS CS PG 1 <1G,12/15/2017
Harris,Drug,POSS CS PG 1 <1G,1/16/2019
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/15/2018
Ellis,Drug,POSS CS PG 1 <1G,11/11/2018
El Paso,Drug,POSS CS PG 1 <1G,7/9/2018
Upshur,Other,EVADING ARST/DETN W/VEH,3/4/2019
Hopkins,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,3/21/2017
Bowie,Property,"THEFT PROP>=$1,500<$20K",7/12/2018
Fort Bend,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/27/2018
Smith,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/24/2018
Erath,Drug,POSS CS PG 1 >=1G<4G,6/21/2017
Tom Green,Drug,POSS CS PG 1 >=1G<4G,10/26/2017
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/10/2017
Houston,Other,OBSTRUCTION OR RETALIATION,9/15/2017
Harris,Violent,INJURY CHILD/ELDERLY/DISABLED RECKLESS BODILY INJ,2/15/2019
Dallas,Other,EVADE ARREST/DETEN W/PREV CONV,6/19/2018
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/15/2017
Harris,Drug,POSS CS PG 2 < 1G,4/14/2018
Rains,Violent,INDECENCY W/CHILD SEXUAL CONTACT,8/4/2018
Tarrant,Drug,MAN DEL CS PG 1 >=4G<200G,4/27/2017
Rockwall,Drug,POSS CS PG 1 <1G,8/24/2018
Brazoria,Drug,POSS CS PG 1 <1G,9/22/2017
Harris,Property,"CRIMINAL MISCHIEF >=$2,500<$30K",7/19/2018
Montgomery,Property,THEFT PROP >=$30K<$150K,7/20/2018
Brooks,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/9/2017
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/11/2018
Dallas,Violent,ROBBERY,2/18/2017
Galveston,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/23/2018
Dallas,Drug,POSS CS PG 1 <1G,7/3/2018
Midland,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/14/2018
Harris,Property,"THEFT PROP >=$2,500<$30K",2/17/2018
Bell,Property,BURGLARY OF BUILDING,3/10/2018
Hidalgo,Drug,POSS CS PG 1 <1G,4/20/2018
Bell,Drug,POSS CS PG 1 <1G,4/10/2018
Dallas,Other,OBSTRUCTION OR RETALIATION,8/10/2018
Atascosa,Drug,POSS CS PG 1 <1G,5/6/2017
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/30/2017
Rusk,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/19/2017
Crosby,Property,BURGLARY OF BUILDING,9/11/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/6/2018
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,2/2/2019
Tarrant,Drug,POSS CS PG 1 <1G,10/20/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/10/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/26/2018
Harris,Drug,MAN DEL CS PG 1 <1G,11/6/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/16/2018
Frio,Violent,MURDER,9/19/2018
Nueces,Violent,ROBBERY,2/19/2019
Wise,Violent,AGG ASSAULT W/DEADLY WEAPON,11/3/2017
Montgomery,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,2/26/2018
Hopkins,Property,UNAUTH USE OF VEHICLE,3/4/2018
Coleman,Drug,MAN DEL CS PG 1 >=1G<4G,7/6/2018
Fannin,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/23/2018
Wichita,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/8/2018
Harris,Drug,MAN DEL CS PG 1 >=1G<4G,9/17/2018
Bexar,Drug,MAN DEL CS PG 1 >=1G<4G,9/4/2017
Hunt,Violent,MURDER,5/19/2017
Coleman,Drug,MAN DEL CS PG 1 >=1G<4G,6/15/2018
Dallas,Drug,POSS CS PG 1 >=1G<4G,7/26/2018
Johnson,Drug,POSS CS NOT IN PG DFZ IAT,9/11/2019
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/12/2018
Cameron,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/20/2018
Dallas,Violent,AGG SEXUAL ASSAULT CHILD,10/26/2017
Harris,Violent,HARASSMENT OF PUBLIC SERVANT,4/10/2018
Bell,Drug,POSS CS PG 1 >=1G<4G,6/1/2018
Bexar,Drug,POSS CS PG 1 >=4G<200G,6/27/2017
Dallas,Drug,POSS CS PG 1 <1G,4/12/2018
Bailey,Property,BURGLARY OF BUILDING,9/19/2017
Gregg,Property,THEFT FROM PERSON,12/29/2018
El Paso,Drug,POSS CS PG 1 <1G,2/19/2019
Tarrant,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,10/4/2018
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/23/2018
Brown,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/10/2018
Randall,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/8/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/20/2018
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,8/7/2018
Bexar,Property,THEFT PROP $750<$2500 ENH IAT,1/25/2018
Kerr,Violent,INDECENCY W/CHILD SEXUAL CONTACT,6/30/2017
Travis,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,3/4/2018
Bexar,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,11/29/2017
Taylor,Drug,POSS CS PG 1 >=4G<200G,9/14/2017
Young,Drug,MAN DEL CS PG 1 >=4G<200G,4/12/2018
Guadalupe,Drug,POSS CS PG 1 <1G,6/3/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/22/2017
Tarrant,Drug,POSS CS PG 1 <1G,3/8/2019
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,2/24/2017
Wichita,Drug,POSS CS PG 1 <1G,6/4/2018
Tarrant,Other,ONLINE SOLICIT OF A MINOR SEXUAL CONDUCT,12/8/2017
Harris,Property,BURGLARY OF HABITATION,4/29/2017
Terry,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/28/2018
Hunt,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/27/2017
Parker,Drug,POSS CS PG 1 >=1G<4G,8/2/2017
Tarrant,Drug,MAN DEL CS PG 1 >=4G<200G,11/3/2018
Brazoria,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/27/2017
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/4/2018
Bexar,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,3/26/2018
Galveston,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/10/2018
Jefferson,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,8/11/2017
Navarro,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,5/2/2018
Nacogdoches,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,10/25/2018
Dallas,Drug,POSS CS PG 1 <1G,8/25/2017
Bexar,Drug,MAN DEL CS PG 1 >=4G<200G,2/1/2018
Hood,Other,EVADING ARST/DETN W/VEH,12/10/2018
Dallas,Violent,AGG ROBBERY,12/31/2017
Caldwell,Drug,POSS CS PG 1 >=1G<4G,3/21/2018
Angelina,Property,"THEFT PROP >=$2,500<$30K",10/17/2017
Brazoria,Violent,AGG ASSAULT W/DEADLY WEAPON,3/22/2018
Victoria,Other,EVADING ARST/DETN W/VEH,3/25/2017
Harris,Drug,MAN DEL CS PG 1 <1G,4/18/2018
Waller,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/28/2018
Hidalgo,Drug,POSS CS PG 1 >=4G<200G,7/26/2018
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/6/2017
El Paso,Violent,MURDER,3/22/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/14/2018
Williamson,Property,FORGERY FINANCIAL INSTRUMENT ENH IAT,5/22/2018
Dallas,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,4/21/2018
Dallas,Property,BURGLARY OF HABITATION,6/8/2018
Brazos,Violent,AGG ASSAULT W/DEADLY WEAPON,3/17/2017
Dallas,Violent,AGG ASSAULT W/DEADLY WEAPON,11/1/2017
Hale,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,2/9/2018
Victoria,Property,BURGLARY OF BUILDING,3/11/2018
Parker,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/3/2017
El Paso,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,3/17/2018
Rusk,Other,UNL POSS FIREARM BY FELON,8/31/2017
Bexar,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,9/18/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,6/6/2018
Harris,Property,BURGLARY OF BUILDING,7/23/2017
Tarrant,Property,BURGLARY OF BUILDING,7/30/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/28/2018
Grimes,Violent,MURDER,2/10/2017
Tarrant,Other,ESCAPE FROM CUSTODY,3/18/2018
Bastrop,Violent,INTOXICATION ASSAULT W/VEHICLE SBI,6/11/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/8/2018
Nueces,Violent,HARASSMENT BY PERSON IN CORRECTIONAL/DETENTION,12/1/2017
Harris,Drug,POSS CS PG 1 <1G,5/23/2019
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/10/2018
Ellis,Other,EVADE ARREST/DETEN W/PREV CONV,9/12/2017
Grimes,Violent,AGG ASSAULT W/DEADLY WEAPON,5/30/2017
Ellis,Drug,POSS CS PG 1 >=1G<4G,9/15/2017
Dallas,Property,THEFT PROP <$2500 2+ CONV ENH IAT,2/10/2018
Taylor,Property,BURGLARY OF HABITATION,8/16/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/23/2019
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/25/2019
Tom Green,Drug,MAN DEL CS PG 1 >=4G<200G,1/29/2017
Rockwall,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/28/2018
Hood,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/4/2017
Bowie,Violent,MURDER,2/2/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/6/2019
Tarrant,Violent,ASSAULT PUBLIC SERVANT,6/27/2018
Wharton,Other,OBSTRUCTION OR RETALIATION,12/10/2017
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/25/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/27/2017
Nacogdoches,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,1/4/2019
Bexar,Drug,POSS CS PG 1 >=4G<200G,5/1/2017
Brazos,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/1/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/24/2017
El Paso,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/20/2018
Tarrant,Property,THEFT PROP>=$300K,1/5/2018
Brazoria,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,10/10/2018
Dallas,Drug,POSS CS PG 1 <1G,11/26/2017
Coleman,Drug,POSS CS PG 1 >=1G<4G,11/16/2017
Lubbock,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/28/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,12/10/2018
Bexar,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,7/25/2018
Tarrant,Violent,ROBBERY,6/6/2018
Tarrant,Drug,POSS CS PG 1 >=1G<4G,6/10/2018
Howard,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/4/2019
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/12/2018
Bexar,Drug,MAN DEL CS PG 1 >=4G<200G,4/25/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/2/2018
Hood,Drug,POSS CS PG 1 <1G,6/14/2017
Randall,Drug,POSS CS PG 1 >=1G<4G,4/7/2019
Travis,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/17/2018
Jefferson,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/13/2018
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/9/2018
Hill,Drug,MAN DEL CS PG 1 >=4G<200G,11/5/2017
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/28/2018
Bexar,Other,PROMOTE PROSTITUTION,2/3/2018
Tarrant,Drug,POSS CS PG 1 <1G,8/28/2018
Howard,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/20/2018
Smith,Drug,POSS CS PG 1 <1G,3/20/2018
Brazoria,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/30/2017
Tarrant,Drug,POSS CS PG 1 >=1G<4G,2/23/2019
Dallas,Violent,AGG ASSAULT W/DEADLY WEAPON,8/13/2018
San Patricio,Property,BURGLARY OF BUILDING,12/5/2018
Bell,Violent,STALKING,1/31/2018
Montgomery,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/12/2017
Grayson,Violent,AGG ASSAULT AGAINST PUBLIC SERVANT,5/26/2017
Lavaca,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/23/2018
Dallas,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,3/2/2018
Stephens,Drug,POSS CS PG 1 <1G,3/31/2017
Hunt,Drug,POSS CS PG 1 <1G,10/16/2018
Jefferson,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/2/2018
Dallas,Violent,AGG KIDNAPPING,1/28/2018
McLennan,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT SBI/MENTAL,3/13/2017
Bastrop,Violent,ASSAULT PUBLIC SERVANT,11/25/2017
Coleman,Drug,POSS CS PG 1 <1G,5/2/2018
Taylor,Property,FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,1/18/2017
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER 10YRS,3/5/2019
Tom Green,Violent,AGG ASSAULT AGAINST PUBLIC SERVANT,1/13/2017
Nueces,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,4/3/2018
Tarrant,Property,FORGERY FINANCIAL INSTRUMENT,12/28/2018
El Paso,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/2/2018
Lubbock,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/1/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/1/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/4/2019
Fort Bend,Property,UNAUTH USE OF VEHICLE,6/28/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/9/2017
Midland,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,7/1/2017
Bexar,Violent,ASSAULT PUBLIC SERVANT,12/23/2017
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/27/2019
Travis,Drug,POSS CS PG 1 >=1G<4G,10/6/2017
Denton,Drug,POSS CS PG 1 <1G,10/14/2017
Dallas,Property,BURGLARY OF BUILDING,3/21/2018
Tarrant,Property,"THEFT PROP >=$2,500<$30K",1/17/2017
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/22/2018
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,3/1/2018
Kaufman,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,8/17/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/24/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/12/2018
Harris,Drug,POSS CS PG 1 <1G,1/22/2019
Tom Green,Drug,POSS CS PG 1 <1G,11/17/2017
El Paso,Other,EVADING ARST/DETN W/VEH,8/12/2017
McLennan,Other,EVADING ARST/DETN W/VEH,5/21/2019
Fayette,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/21/2017
Ellis,Drug,POSS CS PG 1 <1G,2/15/2019
Brazos,Drug,POSS CS PG 1 >=1G<4G,1/8/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/22/2019
Hunt,Drug,POSS CS PG 1 <1G,1/17/2018
Tarrant,Drug,POSS CS PG 1 <1G,6/24/2018
Tarrant,Property,THEFT OF FIREARM ENH,10/24/2018
Kendall,Other,BAIL JUMPING AND FAIL TO APPEAR FELONY,10/29/2018
Tarrant,Violent,AGG ASSAULT W/DEADLY WEAPON,4/18/2018
Travis,Other,ONLINE SOLICITATION OF A  MINOR UNDER 14,4/26/2017
Lubbock,Drug,POSS CS PG 1 >=1G<4G,7/27/2018
Tarrant,Property,"THEFT PROP >=$2,500<$30K",7/15/2018
Travis,Drug,POSS CS PG 1 >=4G<200G,2/7/2018
Live Oak,Drug,POSS CS PG 1 <1G,5/10/2018
Grayson,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,9/20/2018
Gregg,Property,THEFT PROP $750<$2500 ENH IAT,12/8/2018
Bexar,Violent,ASSAULT PUBLIC SERVANT,8/1/2017
Travis,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/30/2018
Galveston,Drug,POSS CS PG 1 <1G,4/22/2019
McLennan,Property,"THEFT PROP >=$2,500<$30K",8/26/2017
Tarrant,Drug,POSS CS PG 1 <1G,8/31/2018
Dallas,Other,OBSTRUCTION OR RETALIATION AGAINST JUROR,11/6/2018
Cameron,Property,BURGLARY OF BUILDING,10/5/2018
Bexar,Drug,POSS CS PG 1 <1G,8/17/2018
Polk,Property,UNAUTH USE OF VEHICLE,1/13/2017
McLennan,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,9/7/2018
Grayson,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/4/2017
