,RegionID,City,2017 % Change,2018 % Change,2019 % Change,2020 % Change,2021 % Change,2022 % Change,Total Change,Variance,Mean Value
124,92576,Leander,0.018564012724071613,0.023059853765966427,0.02300677878835703,0.10657380376034034,0.2808493623985826,0.050366424492595215,0.5328342051361779,9558312666.038881,126127718.19299981
139,90612,Allen,0.026722762717911512,0.023710121341516833,-0.00198343549026201,0.07215376477293765,0.1626551847750005,0.09156789591519611,0.4120749600961699,6885090183.268061,90958807.40414727
141,91732,Houston,0.03984878643559467,0.05792261289598812,0.05158932352868802,0.06187224271017901,0.12831220133863125,0.12312573294807146,0.5376179820482295,1903158336.710573,25243705.92231496
143,399724,Richmond,0.008501225129321662,0.0258785166586702,0.007060756147113446,0.062206779118934304,0.19543777063684575,0.09920202158035339,0.4338431969985262,3934630223.789177,52065598.397547595
145,91325,Fort Worth,0.03441724463173123,0.026731108620141466,0.024060393671970947,0.06832734799071552,0.13488849401046668,0.07941756140189848,0.40189107737437946,4542917266.544404,60088590.87750635
149,92515,Mission,0.0034597037922519773,0.045718485968261995,0.05564482915797375,0.11512467570424646,0.13129224098336045,0.16827416547178778,0.6460755206940028,808946128.116788,10770993.171632111
156,90780,Dallas,0.07353925842891527,0.11057860590264613,0.046018921582350464,0.09389719917927224,0.11025016877867605,0.12329751719171622,0.6849229999177816,2528161352.0190387,33481109.717035946
162,90764,Cockrell Hill,0.048317984182673,0.1435082898544618,0.051963872955704635,0.09963965944604719,0.1068436615671536,0.1707303876761667,0.7997931597808868,1682364460.2710378,22305762.22899134
170,92125,College Station,0.017028466867325842,0.016410832146011283,-0.011318975915974338,0.04987404236793484,0.0773042870974516,0.07812413251059458,0.27802262908141107,2626661902.571225,34835169.13902376
178,91198,Burleson,0.061500150320634626,0.057551643584828165,0.04884380216659895,0.07774768012091497,0.18147242750885215,0.12449978470663932,0.6582261144254533,3757766539.140234,49694678.37298492
185,91744,Houston,0.018326062760626278,0.03293250138072274,0.03215780493422188,0.061586760637416714,0.11269109525364575,0.10558339322272434,0.4024641791496674,2886640244.641693,38240093.59949018
193,91291,Fort Worth,0.054408209877575574,0.07108242939655673,0.037154385018005005,0.07319657103671422,0.17899662862984347,0.09668611266237097,0.5905575490201258,3585831107.524054,47435429.70077163
200,90638,Frisco,0.016459880965912395,-0.004228574462705621,-0.00332626025231274,0.06584024108073643,0.18467499406556898,0.07262559809775553,0.35773928667625104,13121251445.904503,173144089.97074816
216,92350,San Antonio,0.027745653386604906,0.03687651613427106,0.040922160720115466,0.06873589610287617,0.1766376413391456,0.08700157119992431,0.5028383174177107,3184277623.0025215,42148303.969184026
222,92224,Laredo,0.01453871682618542,0.03285893840361728,0.05150595747982617,0.05793206676450571,0.09485836123160261,0.03925634020414742,0.35110565840627084,1589826915.475328,21129294.256183937
234,91885,Tomball,0.015132481442382857,0.04639850424724085,0.030893951792812617,0.061880639077190845,0.1794600355838318,0.10877728014293427,0.5040044525537476,3415147260.298013,45192233.8295102
244,91860,Atascocita,0.018824451950729973,0.04036856012248053,0.02709001226895229,0.04813451346118752,0.1454270270136284,0.10881021839719854,0.43120493176013297,2751544451.7007976,36451352.56895027
251,90665,Lewisville,0.04714005507408839,0.04136014377763581,0.018499630056629867,0.05938966650740437,0.10988802293694265,0.08195914030769375,0.40284108503520044,3727220779.6109595,49336105.43937782
267,90690,Wylie,0.041643163623482075,0.0324714478602534,0.010475537333344173,0.07283677620268884,0.18777985655317,0.09933286834872285,0.4980324878437818,5842255181.442931,77196426.17448583
268,91685,Houston,0.024928915212062273,0.0882511010217675,0.059667256155908684,0.08347561761827278,0.17724616847826014,0.16052347714827125,0.7235664766535957,885743994.1382446,11782084.996304955
280,92225,Laredo,0.03152857888969845,0.05569300011145526,0.03562538031840764,0.0633800122417529,0.12736605007997434,0.024188613462439616,0.44001605038254016,556757842.4960381,7458109.084427106
281,90795,Dallas,0.08128261120287378,0.08985050198863566,0.014233467835576661,0.08209171307760192,0.20142147241094255,0.05674882643943716,0.6112863603676572,2578629861.2306437,34152001.003396496
321,90669,McKinney,0.02558040017729666,0.008337067932188141,0.006876799516556871,0.07445288529286334,0.2229083302987813,0.10359542141110793,0.48367431359625757,9555821027.72704,126126664.41603033
325,90666,Little Elm,0.038403180246236554,0.027934229613493157,-0.001474173674455822,0.05419658885519948,0.19480790687452965,0.08866254355415755,0.43119398515714635,5751449046.401671,76009151.76148848
335,92003,Baytown,0.038774266644663595,0.06057642398754873,0.04936233109964167,0.064105985766476,0.1322219518033987,0.11048437528341964,0.5277553750097371,1758813531.1541238,23338330.581057042
337,90642,Garland,0.057638750491867355,0.06748946797186399,0.038228993203798654,0.05652888278982451,0.11614614494468951,0.15056311891968738,0.5768227816867472,2342754172.0507317,31046528.626752805
344,91721,Houston,0.044853915727058796,0.09551052548349392,0.06783788433584896,0.06953099996585184,0.12728280411027748,0.1977013966737231,0.7476046451987407,1262534924.4026153,16764165.721424269
345,91726,Houston,0.0026139117422414107,-0.006766577033694208,-0.0007995534930507139,0.03972507744568977,0.0889262553912015,0.09442736424985781,0.22823958030053207,3576218149.8906713,47365152.4205721
357,91896,Spring,0.010996718512136492,0.02752723616124213,0.02745290812881525,0.07040063483595557,0.17836593772099718,0.09963319389572621,0.4732063227251258,3862490369.2459006,51095779.79972244
358,90645,Garland,0.06025559348441082,0.05912022431829892,0.044271613600286426,0.0690038304995579,0.1276435006932139,0.10283757516691859,0.5404135644776296,2593048086.8135586,34350395.283556044
373,91883,Spring,0.031015721367272715,0.050614909920696186,0.04718904852398923,0.06384691082657057,0.1344316412971342,0.1219221951527329,0.5145408257708289,1640467221.302175,21774673.514999602
375,90727,Mesquite,0.06378956769599885,0.07927047297042082,0.0493755423777248,0.06263752592472917,0.09994722337918227,0.14497814712237994,0.5974024202079042,2006897478.8450952,26610973.703293234
378,92480,Brownsville,0.017850054994962436,0.006915549737660683,0.056461240376041257,0.14959093233218676,0.20748265815483322,0.10230613536668304,0.726102932300473,575662707.8119237,7676779.032686357
383,92517,La Homa,-0.014619197738499285,0.10079634987142,0.09360159403034432,0.13326933160239085,0.1268225409149471,0.15591729023197431,0.759068922523942,816941895.8325939,10867205.850817585
395,92654,Austin,0.02199494393714307,0.052559491560149704,0.0711428492712534,0.14279903987913994,0.2034681816447559,0.08369907061901852,0.6759853413108349,10572276561.795403,139474303.98969626
402,92575,Kyle,0.028640403671771758,0.02908086810562168,0.029460293525065,0.08469411561021427,0.2501063797860237,0.062326705394026766,0.5241757370688215,4434621885.720838,58615936.96101589
403,92347,San Antonio,0.031379106835822096,0.044541654032034604,0.04951930794397155,0.07508144576732556,0.12179181427940967,0.1050804827838337,0.501865314469807,2089765603.4280841,27710751.42474396
410,90657,The Colony,0.037474892320163794,0.03277241750966421,0.011575733900353845,0.07178408958338343,0.14862804227590384,0.10249340306334061,0.4575221592636438,6952692291.580618,91849106.26558428
417,92345,San Antonio,0.033201426125472236,0.045540367504940255,0.036439028739080136,0.08114692428642595,0.11690925715013765,0.11943943515467632,0.5054801020235723,2744079188.381079,36347610.92626332
422,91907,Richmond,0.011214859823478205,0.017649582653086648,0.005257225011540012,0.056205541151102045,0.20827211038997528,0.10398942538054352,0.4494005215011255,5333816667.45656,70497459.69938102
425,92477,McAllen,0.018294408845092952,0.026049066991289553,0.04555728753008873,0.07580166455800143,0.14004318134575874,0.14559438092743188,0.5471749794410434,1515666652.0818784,20123450.298823368
452,93133,El Paso,0.01841480555751532,0.015677807320524553,0.05175157580597033,0.10120418290052341,0.13380620199537874,0.13601040448407026,0.5863856588598171,591703145.1883147,7904147.394703244
455,91719,Houston,0.015513730991317295,0.045585038007316836,0.03731106320210751,0.06603865629910713,0.12822468547154064,0.12448738519684359,0.47136822915505955,2381749786.331093,31565518.665438488
456,90668,McKinney,0.019876352222743712,2.49074660354017e-05,-0.00446665207383586,0.06641371403320961,0.17501209052305697,0.06454266254874338,0.330430290903094,8004426852.459943,105722348.30684507
460,92349,San Antonio,0.01819532407962957,0.034902303007439454,0.03168392573842031,0.06421617274236989,0.17361345263690636,0.08003339587156445,0.450329830713323,4087226357.086231,54064943.08439201
463,92597,Round Rock,0.02090613024320019,0.044383229140022025,0.038851190131398775,0.11207068263148487,0.2565500184071482,0.04375352996228281,0.569447721949968,5758967595.438941,76063243.06629185
467,92474,McAllen,0.00637173884465573,0.0462987166338807,0.05638011881499082,0.12378803843117382,0.10715746579945856,0.20646954974317752,0.6799230586372313,868069119.0652448,11552009.819185771
479,91902,Humble,0.027026794861543173,0.06414970939088359,0.03827132715573352,0.06132761405038576,0.16108526039738047,0.128131046605103,0.5471220939604686,1961417293.857932,26007186.19520612
485,91280,Fort Worth,0.04849961815810138,0.054357188314393005,0.03762618482134645,0.06785205783253802,0.10907605274959732,0.08818100054340056,0.4478522036502854,3128216012.108613,41424683.58278313
503,91664,Houston,0.04498712677041345,0.0817727985981956,0.08180523550092368,0.08269989676144719,0.11145380935697201,0.17718917260406056,0.7138173545748078,1165023234.7372718,15478193.064120265
505,90779,Dallas,0.08284243887188357,0.11130329789536461,0.05090017454773723,0.09075913585364591,0.10948975366727492,0.18642979158486317,0.7909256142929746,1558618862.2256474,20674735.697593544
513,90701,Desoto,0.05244754467296538,0.0741607548668477,0.045876575153351105,0.07811676350801723,0.14573990312523094,0.10484742823060543,0.5981934645440885,3386461037.464881,44809345.92361243
520,92346,San Antonio,0.033000080161147416,0.04538552654954205,0.04529172452598239,0.07350962097322665,0.08597388671014257,0.12236063762842636,0.4725748730419296,1662609010.282645,22076541.364874993
523,92484,Brownsville,0.013422963728434038,0.028143441061064922,0.018724461761642098,0.10672106577458902,0.19181929213239157,0.13501623174608168,0.6200384365544922,1002420263.1305612,13330503.574643038
524,91184,Arlington,0.11452350389014082,0.11504941046209576,0.07980972661091867,0.10603458361126095,0.07575519592944142,0.13008814965886056,0.7684298094109007,1740109040.755112,23075879.146472644
534,92120,College Station,0.03859658450726883,0.04504766023817046,-0.05329329948652845,0.05032429655858355,0.13768362239192833,0.09872527544028696,0.3893718142684599,1457722833.8860817,19383780.96780303
551,92324,San Antonio,0.04572645980357767,0.08498321967845286,0.05385587604279099,0.10173854630428664,0.08475876530465554,0.10993448586213697,0.5976356639576328,874372767.8381389,11646404.284120535
553,91738,Houston,0.041438004952330104,0.0709478779759031,0.04546863755554425,0.06410606200031184,0.10532908821160039,0.09611293525842492,0.48165373241574705,1848792158.9976187,24534146.072755333
558,90726,Mesquite,0.07291970550457184,0.08207192239325499,0.05151532541025068,0.06655097626711258,0.1279513491760452,0.14134036661583993,0.6605475534638562,1759660246.6068015,23339720.18762478
566,91959,Rosenberg,0.020688393283392746,0.038268175644427214,0.019180684399943936,0.05953757702040592,0.18521499161107907,0.09958895790647214,0.4794934606909544,3359243352.3554525,44458336.650424995
579,92610,Round Rock,0.012876761758014011,0.03539399055545181,0.03408234971863985,0.11601317118077263,0.19919426338154098,0.05797204094991273,0.5095282103311293,10253371178.649412,135307715.79513827
597,90711,Forney,0.024406832351751583,0.03780094660655489,0.01771695804689698,0.055707404049372994,0.22934642448281453,0.09217737512081113,0.5081580087370274,3876946811.7924757,51277997.760832675
606,92497,Harlingen,0.03612381106787743,-0.009446240858593266,0.01256042816507231,0.11596030220342173,0.1733600806518756,0.07066059129323052,0.5082765050187126,417053322.5031313,5592118.345130332
623,399638,Round Rock,0.0091888175146155,0.0165622006375797,0.022392345425048466,0.10171504982018562,0.23412110895986402,0.04485668623514932,0.4546513311154117,6921838942.180949,91434495.69202451
641,90661,Irving,0.0801061881396321,0.09847507296049862,0.06475329659061768,0.08680433937172889,0.11240533321304232,0.1455069926946038,0.7345120945982804,2634898462.5559983,34885058.85327288
650,92336,San Antonio,0.033056316017154114,0.037077094691122935,0.039119719448694315,0.0815006911884627,0.09759803387284163,0.11137343448038253,0.45742936763541425,2015691323.0136657,26738181.59207962
654,90614,Carrollton,0.03452594292956636,0.03289070969989793,0.018037539113311674,0.05176938309813642,0.09771398529671123,0.0788726458948472,0.34860059669663845,4590733476.477102,60736150.04769259
669,91693,Houston,0.022755769126598883,0.03620846412399177,0.027911032325228118,0.05591301143593497,0.15939157243933846,0.12144519361406117,0.4706558496277624,2283704755.105727,30269404.73735372
676,92017,Friendswood,0.0315197382751738,0.0345103601139114,0.03941836236310012,0.07739362198403409,0.15712442248333172,0.09463116134226242,0.5116139786249206,4165124324.664733,55088726.59773922
697,92662,Austin,0.034078963916814524,0.056811438412666185,0.06346329959875521,0.14583398222180996,0.17421215712062685,0.06328279107695998,0.6154362305446212,6241489497.175313,82425118.15030342
730,92712,Eagle Pass,0.00876834829620901,-0.024909866235087362,-0.004312628350799336,0.07943294958864011,0.1166523682936872,0.032822535425893445,0.243590376820003,450625997.5122517,6059578.246338192
731,399725,Sugar Land,0.02332776488365258,0.03692926642525034,0.030161411191379967,0.0511461842673873,0.1269587284918753,0.11287929751395041,0.4312124776110811,2679487882.632765,35510775.119517066
743,91470,Killeen,0.027646030428380618,0.05718509731618499,0.059927573496966126,0.11147355225439502,0.20936711094179256,0.14235948384615543,0.7607609991922183,1737021767.094176,23019172.20896165
748,91731,Houston,0.034190708191897026,0.0665103405924021,0.02438974040549669,0.06124325363536646,0.12698913957964775,0.11854768793057333,0.49074711936780585,1737238425.2996895,23058747.44732663
755,90768,Dallas,0.10788137663570829,0.2895755652253911,0.11497377314257055,0.1693998886682531,0.12136551596666963,0.2149286486972036,1.5737166589010791,1273042763.214135,16865434.952828944
775,91898,Spring,0.016958699369443945,0.036621867611607906,0.03915464306583388,0.06040393660873917,0.12968306553037617,0.10476715865915764,0.4291856644230451,2469747803.158431,32732276.81513966
780,91737,Houston,0.04307086236238452,0.08781991364955055,0.06008238095154926,0.08927718900690086,0.1328613107699124,0.18266835022346517,0.7350011361708046,1383260400.843136,18357323.157508727
786,90675,Richardson,0.02615245299526172,0.06285871514340921,0.0148838272894785,0.07659823986434941,0.09718871771065551,0.09721376054165193,0.4341847750093081,5757809236.997477,76109775.30689898
788,92319,San Antonio,0.05791992747974818,0.09325286433765069,0.04763876293102822,0.08207320234580558,0.109872502782701,0.10714632411248257,0.6148633874436067,953871262.8182509,12697679.04079591
812,92042,Pearland,0.023710796572873383,0.04864363024073308,0.03477937784284891,0.03246349049996061,0.13348110696745596,0.0978985274494705,0.42627273008102573,3289044409.9557624,43552125.57315352
813,91276,Fort Worth,0.08471773529387655,0.0781850375391598,0.05946163060605078,0.09543023077353766,0.11403589704542622,0.13816623413078497,0.6868809014998892,2275176952.687023,30141666.158058073
818,92487,Donna,0.036523176588326794,0.11223860829219545,0.03007836712359763,0.1796697145830927,0.10935196959309372,0.2197753811979332,0.9189995341417868,443934814.0058923,5924924.542346619
820,92289,Seguin,0.030000231409510608,0.04324861675527228,0.048120525305864095,0.0579134236001349,0.21894901655615473,0.06899497217351584,0.5714803389579178,2386347438.934065,31611215.866149407
821,90823,Dallas,0.014338379942500654,0.012980930960893955,0.006805560111386682,0.06297534827991019,0.12938635176863816,0.07043501855315891,0.33270156827931097,6040669549.8446665,79848315.78273626
825,91264,Fort Worth,0.09476045128839862,0.20205227311097376,0.13011618725883745,0.14415338652172982,0.06032784596230659,0.24698541656487247,1.2264777134255282,1294763570.694363,17165236.57748428
826,92528,San Benito,0.0006107239741726667,-0.007894287425214102,-0.015524064040414353,0.13797480827111855,0.15949672478027266,0.03140635050732573,0.4859270255105353,170239735.83774203,2309062.5994221694
829,90695,Cedar Hill,0.06675784768672795,0.0773138426040058,0.04554869833815396,0.0846271371165436,0.143200333999341,0.10799496594970173,0.6325141518103519,3136854415.4374948,41514362.16207851
836,422746,Frisco,0.008539739752025391,0.00187283714827686,-0.005396992184802684,0.07495396415121179,0.165761087096019,0.097445597370862,0.3577173693942001,12056568071.128235,159157853.80052063
838,92343,San Antonio,0.03537724718740128,0.04076513853260344,0.042518387818030606,0.07404772768992135,0.09998245195755566,0.0976864050357888,0.4542768615539675,2230213394.7909074,29574201.149745867
851,90630,Plano,0.010309264542210886,-0.008894243409831928,-0.010680005786531957,0.050604192967544835,0.1215961034920351,0.07095960737620856,0.24356516149585852,8922795205.432972,117858215.08691187
856,92013,Dickinson,0.0530134904050702,0.020220846464659197,0.06145141433440914,0.07370145711925397,0.14875629576112298,0.09123970969367501,0.5315747148489266,2069644847.6172585,27441089.395831373
879,93119,El Paso,-0.00027107311705746483,0.01980816214732542,0.0483922443408392,0.08387033042184501,0.13328124834045832,0.10868796848550949,0.5499293350506657,415420116.9840522,5573269.636524878
880,90670,Plano,0.05411049972760974,0.03324828687382883,0.011236678673490395,0.06446440614051822,0.14467367924506772,0.09322715174754267,0.45605319126601124,4080847213.1964946,53987910.10482278
894,92617,Austin,0.018117050186785714,0.0555084762739057,0.05515596812367965,0.13662661741642487,0.2937022999117201,0.12299869899100231,0.8232289326391844,39997929587.48079,526914163.84931743
895,91212,Grapevine,0.03497514514597782,0.02913383620770989,0.03121072831716563,0.06510283199484783,0.08878862523742434,0.11066811291886895,0.40725969060120193,7798585424.053828,103020077.77151853
897,92667,Austin,0.038104300283096124,0.07180196925618944,0.08967364242219687,0.15159219000696827,0.15202342368530714,0.04561405758957869,0.6369160337954956,8255125076.780765,108960040.54170422
900,92303,San Antonio,0.028482269855543592,0.1401197106755401,0.07057281322890283,0.15977049024254691,0.08493204650732707,0.07212408544606254,0.7912651441891861,343126274.172685,4599019.074931578
903,91689,Houston,0.03161267995140695,0.06313413405569127,0.036637394025700744,0.07229685006220467,0.11971700650197699,0.13532191303546573,0.5244534785455769,1941805339.7301738,25754531.057737093
915,92961,Lubbock,0.04054998271811593,0.02675763070394174,0.0024573526149826337,0.0712591615595333,0.12454683150136482,0.09014006668014707,0.4175029369072193,2063450181.9309394,27376808.011986375
916,90662,Irving,0.07194186878931337,0.06953592223833097,0.04607081214990204,0.0705925130401751,0.09935136191416556,0.13084315257343115,0.5844049901236117,2634122779.890268,34892493.22304525
950,90637,Frisco,0.016744523414895757,0.004849107533670737,-0.011263770173254813,0.07033002405957912,0.20853841210522278,0.12250680007033977,0.4516562928023718,15234568521.56636,200954337.88498944
952,91261,Fort Worth,0.055657852679476094,0.061600981287169565,0.04517392439152942,0.08614386845142456,0.13374235365969886,0.1194707214509072,0.5748884493110666,2656078903.9274554,35173899.99971108
968,90628,Plano,0.03249265024476198,0.014104508247379133,0.00010427196404540366,0.06979080251704087,0.10931282736329515,0.07975541564917087,0.3340890625287072,5072082786.105601,67079494.844979174
972,91463,Killeen,0.020822676243094328,0.047776748907007525,0.0544709780501348,0.09388144265325993,0.20322326241394356,0.10971295583914306,0.6348331463876642,2030580609.810822,26904896.715070963
1019,90613,Carrollton,0.04954419219934243,0.04793923221123929,0.024446145627830904,0.06425240905256155,0.09737686153268459,0.10597301544722106,0.43893049560812575,3347006753.784007,44314912.127007276
1024,91994,Alvin,0.04070416025146254,0.04149324268062663,0.040931582803252695,0.06991880401394272,0.15999957193711584,0.08439686946833945,0.5241921150548617,1894067702.8291054,25124507.262406528
1028,92354,San Antonio,0.016400450621200872,0.020361085393022647,0.01627298198458572,0.06670986302102155,0.14048473839521727,0.09663785942768685,0.40431978601201524,7245244837.154466,95716884.30489556
1033,92657,Austin,0.014527868140689574,0.036945119890989545,0.03819707029139809,0.13285294490693664,0.18207415606422006,0.05326888042776746,0.49729085823385344,8541396365.334274,112751080.8961108
1034,91748,Houston,0.04593359296829032,0.0751095139584981,0.0615944909458218,0.06385049487805967,0.1312848541155542,0.1836647165879046,0.6782812326319922,1349255458.717237,17915060.57551242
1042,92653,Austin,0.03510238009826512,0.06592489166528516,0.06390014049209718,0.15299673354080598,0.29193850727813564,0.061240444462620454,0.7848325151652813,6994968067.514336,92315248.94021474
1062,90660,Irving,0.0578928518091465,0.07705329229033862,0.07342479320852424,0.08656281328697718,0.10340700903523946,0.16448162209090705,0.6941625535001521,2516556846.249196,33324517.179387998
1075,91730,Houston,0.0030529899241666797,0.024648876005970724,0.01629354238699634,0.056227199004630364,0.12159159105163524,0.07106270756816259,0.31505937881130264,1384963980.6365025,18421215.796768248
1101,91981,Katy,0.021216141847422536,0.022471407889535725,0.016834028590451584,0.0537529668239334,0.19781728335474433,0.11477362008588843,0.46571763383369363,3905271133.5160813,51658030.82476783
1106,91713,Houston,0.02196208499637575,0.05256780042673016,0.04517682665459101,0.06636258314871309,0.11845568715758258,0.11329562094159035,0.46940470395160805,1994781783.6368277,26458012.55641021
1115,92491,Edinburg,0.013526902258917844,0.07292573790002493,0.06423214722492575,0.1283491479158457,0.13583869695454998,0.15762555165617065,0.7241789487961269,866116548.6328983,11523106.848553766
1124,91852,Humble,0.04136349727983949,0.05732427321089463,0.050630293154292724,0.06743937478595216,0.15103366010555866,0.12852898033714413,0.5798020115398513,1619661757.3539977,21492688.078905977
1185,91742,Houston,0.06735135743489327,0.17307004191967407,0.10305337444350753,0.13573400875478628,0.07947554526978391,0.20857148940174036,1.0408573285132103,862024486.3333683,11456400.942326006
1187,92220,Laredo,0.019921287691056465,0.04005643449922726,0.06534895953753743,0.07570452911135239,0.07657651183723622,0.026088948032319297,0.38962437896024166,1077224287.315234,14351075.998703934
1194,92705,Del Rio,0.014185106743478108,0.03611640681011726,0.12867933941165818,0.025674591811212486,0.14672888360445113,0.05172412555495549,0.5496310452447194,634249492.9196087,8474594.658703681
1212,92297,San Antonio,0.056075979670606714,0.10307356533400676,0.02769739473643284,0.11834711136696542,0.09270283085205715,0.07285467305644927,0.5901989912334513,887625158.4492023,11824382.14237787
1213,92256,Converse,0.038410395219536445,0.05558338623325961,0.050138371442703125,0.07176847924369953,0.1604376716855504,0.10760385647321699,0.5745416187681872,2050753565.8630664,27184987.83542371
1214,92222,Laredo,0.009777278393774833,0.06572260480253891,0.06548909928783941,0.06436497998250766,0.09925950817271825,-0.002500259706676142,0.41892189344602326,479442990.1764119,6435499.157494123
1221,90687,Plano,0.013543538492117658,0.00850794773069392,0.002723752636760939,0.061242773884649854,0.12615643420936673,0.0978369340616145,0.34808162879760846,15077561287.733173,198939265.67066345
1225,91191,Arlington,0.05170119795147316,0.06303358285321382,0.05456195110687318,0.06739259966685247,0.10691902056041362,0.10561269353837092,0.5149537232714176,2953806889.5160465,39116563.5083335
1249,92651,Austin,0.05712670292381252,0.05341296415117535,0.04432450814681673,0.1318774144878134,0.2677608412841253,0.06582777983916008,0.7212368334396563,9161301977.895733,120878157.36684851
1252,91437,Temple,0.02760207733926497,0.059419078695165585,0.04133798659783151,0.09109620636436665,0.25727622329993555,0.12564897987565063,0.72368057708258,2824723653.7341805,37368929.30359609
1258,92323,San Antonio,0.07078842240378845,0.07179896470057834,0.054964369535986775,0.09944442974950889,0.08441615560276655,0.12917377510245776,0.6385751833004638,751332816.109225,10016883.376251541
1263,90646,Garland,0.058894237468300865,0.051884550902372865,0.020275425725566766,0.05628005285352419,0.10567653064114779,0.08487959618847934,0.42781953619980956,3322660575.520948,43998394.44190014
1264,90741,Waxahachie,0.058539682899046895,0.07291266510821998,0.03743705006856592,0.09226506001676707,0.21453170505122224,0.09822998526810521,0.7204110125930905,3683522809.4928555,48708403.14075098
